# ms1-new-2-ms2-1579-ms-1302-0001 - Peak List - Sample O23
375.101180628	128.000000000
413.186916304	384.000000000
415.239328696	192.000000000
431.193948339	2048.000000000
447.147028834	576.000000000
458.234977986	576.000000000
459.292987369	640.000000000
517.277868765	448.000000000
543.271795182	256.000000000
640.351066140	576.000000000
665.382200939	469.333343506
667.430222282	9344.000000000
676.460341928	3840.000000000
677.414644331	256.000000000
709.473328159	18944.000000000
710.427677766	1152.000000000
711.477210666	1600.000000000
737.537839843	3520.000000000
738.587236008	896.000000000
839.516654852	19328.000000000
840.462709652	2304.000000000
927.494733842	256.000000000
1057.532462355	4608.000000000
1058.413699195	320.000000000
1074.553208725	576.000000000
1075.439089810	11050.666992188
1076.465261105	7296.000000000
1084.429740923	64896.000000000
1085.502884736	22784.000000000
1086.404972430	2688.000000000
1145.442036485	56192.000000000
1146.420402566	10496.000000000
1147.478316401	725.333312988
1260.362039894	192.000000000
1261.349103068	320.000000000
